Atm name,Address,Latitude,Longitude,Zone,Easting,Northing,City,Type
Axis Bank ATM,"Shop No 4 & 5, Ram Rahim Shelter CHSL Ambadi Road, Palghar",19.3926552,72.8300149,43,272107.5918,2145708.221,vasairoad,Atm
Axis Bank ATM,"Shop No 8, Fanesh Pada, Waliv Naka Palghar, Nalasopara, near Khairpada Road",19.4194313,72.855538,43,274825.9061,2148639.159,vasairoad,Atm
ATMS & CO LLP,"201, Lotus IT Park, MIDC, Wagle Road #16",19.1941783,72.9543359,43,284908.9861,2123575.857,thane,Atm
Thane District central Co-Op ltd Bank ATM,Shivaji Path,19.1928314,72.9766762,43,287256.9964,2123399.306,thane,Atm
HDFC Bank ATM,"SN 4, Shivam Bungalow, Thane West",19.2467218,72.9759713,43,287252.2626,2129366.098,thane,Atm
HDFC Bank ATM,"SN 4A, Niv Anand Park, Mohan Das Sunderji Rd, Raghunath Nagar",19.1880459,72.9589748,43,285388.9524,2122891.243,thane,Atm
"Bank Of India, ATM","Sahyadri Co-operative Housing Society, Kalwa Station Rd",19.1967393,72.9937756,43,289060.4831,2123811.125,thane,Atm
"ATM laxmi chirag nagar, Thane",Pokharan Rd Number 1,19.2132326,72.9594878,43,285475.5838,2125678.919,thane,Atm
ICICI BANK ATM,"Josna Apartment, Near Shivam Hotel, Opposite Thane Railway. Station",19.184964,72.976015,43,287177.3347,2122529.157,thane,Atm
ATM Thane District Central Bank,"2, Station Rd, Jambli Naka, Thane West, Thane, Maharashtra 400612, Station Rd",19.194132,72.979146,43,287518.4396,2123540.273,thane,Atm
Union Bank of India ATM,"Next Passport Seva Kendra, Rd Number 22",19.1991376,72.9485107,43,284302.7567,2124132.087,thane,Atm
State Bank Of India ATM,"Near Thane Station, Agiary Ln",19.1851308,72.9766764,43,287247.1184,2122546.814,thane,Atm
Axis Bank ATM,"Shop No 1, Building No 25, near Thane",19.1797853,72.9724282,43,286793.3884,2121960.235,thane,Atm
HDFC Bank ATM,"Shop No, 4, Wagle Estate Rd",19.1896892,72.9527163,43,284732.7963,2123080.888,thane,Atm
ATM,"Paradise Heights, Shivaji Path",19.1899623,72.9765286,43,287237.783,2123081.864,thane,Atm
State Bank of India ATM,Park Ave,41.556219,-93.6248305,15,447894.9157,4600694.11,thane,Atm
HDFC Bank ATM,"SN 4, Gr Flr, Leonardo Cplx, Ghodbunder Rd, Thane",19.2572261,72.9705776,43,286698.7255,2130535.598,thane,Atm
Bank Of India ATM,"PN-19, Shivaji Path",19.189172,72.9755797,43,287136.9596,2122995.533,thane,Atm
ATM,"22, Kisan Nagar Rd",19.1878835,72.9480636,43,284241.0565,2122886.743,thane,Atm
ICICI BANK ATM,"Transtrade Center, Behind Rolta Bhavan, Midc, Near Seepz Andheri(E",19.123961,72.8705167,43,275997.8233,2115907.749,andheri,Atm
Kotak Mahindra Bank ATM,"Andheri, Andheri Suburban Station",19.1129083,72.8685788,43,275778.9838,2114686.592,andheri,Atm
HDFC Bank ATM,"Bonanza Bldg, Sahar Plaza, Andheri East",19.112233,72.868438,43,275763.2554,2114612.011,andheri,Atm
IndusInd Bank ATM,"Pna house,5th floor plot no 57& 57/1, Street no.17",19.1186995,72.8719385,43,276140.3478,2115323.428,andheri,Atm
IndusInd Bank ATM,"Mott Macdonald Cross B Road MIDC J.B.Nagar, Off, Andheri - Kurla Rd",19.1140938,72.8675753,43,275674.9794,2114819.126,andheri,Atm
HDFC Bank ATM,"SN 4 & 35, Gr Flr, Sagar Pallazio Mall Andheri Kurla Rd, Andheri East",19.111,72.8713,43,276062.7815,2114471.838,andheri,Atm
Kotak ATM,Andheri - Kurla Rd,19.1111038,72.8707227,43,276002.1678,2114484.069,andheri,Atm
Axis Bank ATM,"1, Ground Floor, Corporate Center CTS No 271, Andheri - Kurla Rd",19.1107774,72.8709391,43,276024.5013,2114447.656,andheri,Atm
IndusInd Bank ATM,"Chakala Metro station, Andheri - Kurla Rd, near Hotel Kohinoor Continental",19.1122731,72.8679607,43,275713.0801,2114617.062,andheri,Atm
State Bank of India,Andheri - Kurla Rd,19.1111038,72.8707227,43,276002.1678,2114484.069,andheri,Atm
ICICI BANK ATM,"J-3, Maheshwari Nagar Chs, Kondivita Rd",19.1140264,72.87232,43,276174.1993,2114805.583,andheri,Atm
IDBI BANK ATM,"Mukund Hospital, Andheri - Kurla Rd",19.1111479,72.8720755,43,276144.5922,2114487.219,andheri,Atm
ICICI Bank ATM,"Andheri-, Kurla Rd",19.1111038,72.8707227,43,276002.1678,2114484.069,andheri,Atm
Axis Bank ATM,"Ground Floor, Andheri - Kurla Rd, opposite Mukund Hospital",19.1111479,72.8720755,43,276144.5922,2114487.219,andheri,Atm
DCB Bank ATM,"Shop No 4-5, Apna Ghar CHS, Near Mc.Donald's, Lokhadwala, Andheri West",19.1400551,72.8237551,43,271099.2718,2117750.17,andheri,Atm
DCB Bank ATM,"Kadal Wali, Marol Pipeline Road, Near Siddhi, Kadam Wadi, Marol, Andheri East",19.110984,72.872162,43,276153.4745,2114468.963,andheri,Atm
State Bank ATM,"Mukund Nagar Co-Operative Housing Society Ltd, Marol Pipeline, A.K. Rd",19.1115582,72.8729214,43,276234.1647,2114531.56,andheri,Atm
HDFC Bank ATM,"SN 2, Sainath CHS, Link Rd, Andheri East",19.1821418,72.8384753,43,272705.8716,2122390.437,andheri,Atm
HDFC Bank ATM,"SN 3/4, Arbour, 180/A, Marve Rd",19.1933171,72.8403585,43,272919.3074,2123625.222,malad,Atm
Union Bank ATM - Malad East,Rani Sati Rd,19.1798682,72.8596899,43,274934.4156,2122111.185,malad,Atm
Union Bank ATM - Malad West,"Near Veg Affair Hotel, Liberty Garden ,Omkar Jaymalhar CHS Ltd. Shop No.2, Turel Pakhadi Road No 2,, Liberty Garden Road No. 2",19.1853753,72.8422198,43,273104.2021,2122743.543,malad,Atm
Bank of Baroda ATM,"Shantinath Shopping Centre, 1st Floor Br, Swami Vivekananda Rd",19.1848011,72.8463696,43,273539.9404,2122674.573,malad,Atm
ICICI Bank ATM,"Marve Road, Orlem Church, Oscar Classic, Malad West",19.1951765,72.8375031,43,272621.5127,2123834.807,malad,Atm
